timestamp,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
2026/09/13 12:05:49.847, 95, 4235, 8188, 74, 53.21
2026/09/13 12:06:19.909, 95, 4257, 8188, 73, 55.01
2026/09/13 12:06:49.971, 98, 4257, 8188, 73, 56.10
2026/09/13 12:07:20.020, 95, 4259, 8188, 74, 56.73
2026/09/13 12:07:50.081, 76, 4235, 8188, 73, 53.10
2026/09/13 12:08:20.141, 97, 4235, 8188, 74, 62.66
2026/09/13 12:08:50.210, 98, 4235, 8188, 74, 54.90
2026/09/13 12:09:20.265, 97, 4235, 8188, 72, 55.23
2026/09/13 12:09:50.327, 52, 1767, 8188, 73, 57.72
2026/09/13 12:10:20.398, 99, 4235, 8188, 74, 55.14
2026/09/13 12:10:50.458, 96, 4235, 8188, 73, 55.50
2026/09/13 12:11:20.522, 77, 4257, 8188, 73, 53.70
2026/09/13 12:11:50.582, 97, 4257, 8188, 74, 52.78
2026/09/13 12:12:20.676, 97, 4197, 8188, 73, 46.08
2026/09/13 12:12:50.738, 98, 4199, 8188, 73, 53.74
2026/09/13 12:13:20.795, 86, 4199, 8188, 73, 54.92
2026/09/13 12:13:50.859, 96, 4247, 8188, 74, 55.56
2026/09/13 12:14:20.919, 97, 4247, 8188, 74, 54.93
2026/09/13 12:14:50.995, 98, 4245, 8188, 73, 52.42
2026/09/13 12:15:21.053, 96, 4245, 8188, 73, 54.68
2026/09/13 12:15:51.112, 77, 4245, 8188, 74, 53.78
2026/09/13 12:16:21.175, 0, 273, 8188, 64, 1.61
2026/09/13 12:16:51.230, 0, 273, 8188, 58, 1.64
2026/09/13 12:17:21.283, 94, 2927, 8188, 67, 52.11
2026/09/13 12:17:51.342, 99, 3775, 8188, 69, 49.89
2026/09/13 12:18:21.401, 100, 3775, 8188, 70, 43.14
2026/09/13 12:18:51.472, 90, 3775, 8188, 72, 54.06
2026/09/13 12:19:21.574, 86, 3775, 8188, 73, 52.67
2026/09/13 12:19:51.643, 71, 3775, 8188, 72, 73.39
2026/09/13 12:20:21.710, 96, 3775, 8188, 72, 54.67
2026/09/13 12:20:51.765, 95, 3775, 8188, 72, 49.27
2026/09/13 12:21:21.833, 93, 3775, 8188, 73, 51.19
2026/09/13 12:21:51.890, 97, 3775, 8188, 73, 37.66
2026/09/13 12:22:21.981, 96, 3775, 8188, 73, 51.35
2026/09/13 12:22:52.034, 95, 3775, 8188, 74, 53.94
2026/09/13 12:23:22.099, 46, 3775, 8188, 72, 45.79
2026/09/13 12:23:52.182, 73, 3775, 8188, 74, 43.47
2026/09/13 12:24:22.249, 93, 3775, 8188, 73, 45.28
2026/09/13 12:24:52.312, 95, 3775, 8188, 73, 49.03
2026/09/13 12:25:22.383, 97, 3775, 8188, 73, 52.26
2026/09/13 12:25:52.454, 69, 3775, 8188, 73, 47.58
2026/09/13 12:26:22.515, 98, 3775, 8188, 73, 48.82
2026/09/13 12:26:52.602, 71, 3775, 8188, 73, 48.19
2026/09/13 12:27:22.655, 71, 3775, 8188, 73, 48.83
2026/09/13 12:27:52.726, 95, 3775, 8188, 74, 65.60
2026/09/13 12:28:22.785, 71, 3775, 8188, 73, 62.35
2026/09/13 12:28:52.850, 94, 3775, 8188, 73, 49.30
2026/09/13 12:29:22.920, 96, 3775, 8188, 73, 52.03
2026/09/13 12:29:52.992, 99, 3775, 8188, 72, 36.77
2026/09/13 12:30:23.050, 95, 3775, 8188, 74, 52.02
2026/09/13 12:30:53.121, 94, 3775, 8188, 74, 51.45
2026/09/13 12:31:23.199, 80, 3775, 8188, 73, 57.13
2026/09/13 12:31:53.270, 95, 3775, 8188, 73, 46.55
2026/09/13 12:32:23.326, 93, 3775, 8188, 74, 51.78
2026/09/13 12:32:53.411, 43, 3775, 8188, 73, 48.81
2026/09/13 12:33:23.471, 94, 3775, 8188, 74, 66.13
2026/09/13 12:33:53.556, 45, 3775, 8188, 74, 51.39
2026/09/13 12:34:23.623, 95, 3775, 8188, 73, 53.74
2026/09/13 12:34:53.686, 98, 3775, 8188, 73, 59.45
2026/09/13 12:35:23.755, 96, 3775, 8188, 72, 57.62
2026/09/13 12:35:53.837, 87, 3775, 8188, 72, 51.72
2026/09/13 12:36:23.918, 23, 3775, 8188, 70, 37.59
2026/09/13 12:36:53.980, 86, 3775, 8188, 72, 56.04
2026/09/13 12:37:24.038, 93, 3775, 8188, 72, 59.99
2026/09/13 12:37:54.122, 84, 3775, 8188, 71, 58.63
2026/09/13 12:38:24.177, 94, 3775, 8188, 72, 61.07
2026/09/13 12:38:54.246, 38, 3775, 8188, 70, 42.62
2026/09/13 12:39:24.314, 64, 3775, 8188, 70, 45.36
2026/09/13 12:39:54.386, 93, 3775, 8188, 72, 57.66
2026/09/13 12:40:24.457, 19, 3775, 8188, 71, 34.04
2026/09/13 12:40:54.525, 89, 3775, 8188, 70, 58.89
2026/09/13 12:41:24.592, 92, 3775, 8188, 72, 61.07
2026/09/13 12:41:54.666, 95, 3775, 8188, 72, 60.71
2026/09/13 12:42:24.728, 46, 3775, 8188, 69, 45.65
2026/09/13 12:42:54.801, 94, 3775, 8188, 72, 59.19
2026/09/13 12:43:24.857, 71, 3775, 8188, 70, 58.99
2026/09/13 12:43:54.919, 49, 3775, 8188, 71, 41.18
2026/09/13 12:44:24.980, 98, 3775, 8188, 72, 62.21
2026/09/13 12:44:55.029, 98, 3775, 8188, 71, 63.48
2026/09/13 12:45:25.098, 78, 3775, 8188, 72, 66.94
2026/09/13 12:45:55.158, 97, 3775, 8188, 71, 59.17
2026/09/13 12:46:25.219, 96, 3775, 8188, 71, 63.06
2026/09/13 12:46:55.284, 95, 3775, 8188, 72, 61.33
2026/09/13 12:47:25.366, 98, 3775, 8188, 71, 60.01
2026/09/13 12:47:55.431, 80, 3775, 8188, 72, 62.31
2026/09/13 12:48:25.484, 96, 3775, 8188, 72, 60.98
2026/09/13 12:48:55.543, 84, 3775, 8188, 72, 62.65
2026/09/13 12:49:25.612, 99, 3775, 8188, 71, 56.67
2026/09/13 12:49:55.678, 94, 3775, 8188, 72, 63.35
2026/09/13 12:50:25.746, 75, 3775, 8188, 72, 57.76
2026/09/13 12:50:55.816, 91, 3775, 8188, 71, 59.61
2026/09/13 12:51:25.894, 95, 3775, 8188, 71, 53.83
2026/09/13 12:51:55.955, 92, 3775, 8188, 72, 51.22
2026/09/13 12:52:26.029, 74, 3775, 8188, 70, 49.77
2026/09/13 12:52:56.099, 27, 3775, 8188, 72, 37.84
2026/09/13 12:53:26.165, 2, 3775, 8188, 69, 25.00
2026/09/13 12:53:56.230, 92, 3775, 8188, 73, 60.26
2026/09/13 12:54:26.291, 97, 3775, 8188, 72, 61.70
2026/09/13 12:54:56.360, 94, 3775, 8188, 72, 57.66
2026/09/13 12:55:26.428, 74, 3775, 8188, 73, 59.20
2026/09/13 12:55:56.496, 98, 3775, 8188, 72, 56.89
2026/09/13 12:56:26.597, 35, 3775, 8188, 72, 26.55
2026/09/13 12:56:56.664, 96, 3775, 8188, 72, 61.16
2026/09/13 12:57:26.740, 49, 3775, 8188, 73, 44.76
2026/09/13 12:57:56.817, 93, 3775, 8188, 71, 53.68
2026/09/13 12:58:26.888, 96, 3775, 8188, 72, 58.43
2026/09/13 12:58:56.970, 34, 3775, 8188, 72, 40.28
2026/09/13 12:59:27.024, 39, 3775, 8188, 72, 57.28
2026/09/13 12:59:57.084, 95, 3775, 8188, 72, 62.65
2026/09/13 13:00:27.148, 56, 3775, 8188, 71, 48.58
2026/09/13 13:00:57.212, 98, 3775, 8188, 72, 59.12
2026/09/13 13:01:27.305, 41, 3775, 8188, 72, 55.21
2026/09/13 13:01:57.379, 94, 3775, 8188, 72, 62.55
2026/09/13 13:02:27.438, 95, 3775, 8188, 72, 56.60
2026/09/13 13:02:57.511, 94, 3775, 8188, 71, 56.90
2026/09/13 13:03:27.573, 98, 3775, 8188, 72, 60.12
2026/09/13 13:03:57.657, 93, 3775, 8188, 72, 77.21
2026/09/13 13:04:27.740, 75, 3775, 8188, 72, 59.76
2026/09/13 13:04:57.811, 74, 3775, 8188, 70, 54.31
2026/09/13 13:05:27.872, 91, 3775, 8188, 71, 52.05
2026/09/13 13:05:57.943, 97, 3775, 8188, 72, 60.48
2026/09/13 13:06:28.024, 93, 3775, 8188, 72, 53.05
2026/09/13 13:06:58.083, 51, 3775, 8188, 71, 56.17
2026/09/13 13:07:28.148, 83, 3775, 8188, 72, 55.76
2026/09/13 13:07:58.218, 80, 3775, 8188, 72, 57.43
2026/09/13 13:08:28.284, 95, 3775, 8188, 72, 55.47
2026/09/13 13:08:58.358, 87, 3775, 8188, 72, 57.56
2026/09/13 13:09:28.429, 74, 3775, 8188, 71, 49.76
2026/09/13 13:09:58.485, 95, 3775, 8188, 72, 54.00
2026/09/13 13:10:28.553, 61, 3775, 8188, 72, 53.25
2026/09/13 13:10:58.625, 98, 3775, 8188, 72, 51.73
2026/09/13 13:11:28.706, 94, 3775, 8188, 71, 61.87
2026/09/13 13:11:58.774, 94, 3775, 8188, 73, 69.62
2026/09/13 13:12:28.829, 0, 3775, 8188, 66, 21.58
2026/09/13 13:12:58.899, 0, 273, 8188, 57, 1.47
2026/09/13 13:13:28.957, 0, 273, 8188, 53, 1.48
2026/09/13 13:13:59.031, 99, 2927, 8188, 65, 59.33
2026/09/13 13:14:29.087, 94, 3775, 8188, 68, 60.94
2026/09/13 13:14:59.147, 96, 3775, 8188, 68, 57.08
2026/09/13 13:15:29.216, 98, 3775, 8188, 70, 55.88
2026/09/13 13:15:59.284, 99, 3775, 8188, 70, 57.13
2026/09/13 13:16:29.353, 99, 3775, 8188, 71, 62.94
2026/09/13 13:16:59.436, 97, 3775, 8188, 71, 59.42
2026/09/13 13:17:29.508, 51, 3775, 8188, 71, 43.30
2026/09/13 13:17:59.572, 99, 3775, 8188, 71, 60.80
2026/09/13 13:18:29.645, 44, 3775, 8188, 72, 51.78
2026/09/13 13:18:59.726, 97, 3775, 8188, 72, 61.65
2026/09/13 13:19:29.791, 45, 3775, 8188, 71, 50.46
2026/09/13 13:19:59.856, 100, 3775, 8188, 72, 60.12
2026/09/13 13:20:29.935, 63, 3775, 8188, 69, 53.78
2026/09/13 13:20:59.986, 41, 3775, 8188, 70, 40.01
2026/09/13 13:21:30.039, 64, 3775, 8188, 69, 53.12
2026/09/13 13:22:00.098, 41, 3775, 8188, 71, 50.34
2026/09/13 13:22:30.157, 92, 3775, 8188, 72, 56.22
2026/09/13 13:23:00.222, 99, 3775, 8188, 72, 55.26
2026/09/13 13:23:30.317, 93, 3775, 8188, 70, 55.08
2026/09/13 13:24:00.388, 96, 3775, 8188, 72, 57.59
2026/09/13 13:24:30.449, 98, 3775, 8188, 72, 58.31
2026/09/13 13:25:00.512, 96, 3775, 8188, 72, 59.46
2026/09/13 13:25:30.595, 80, 3775, 8188, 70, 57.46
2026/09/13 13:26:00.670, 93, 3775, 8188, 72, 55.54
